track_id,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
5165382,128,G,Minor,56,38,97,4,0,35,4
4446199,79,F#,Major,56,58,56,37,0,11,10
5168392,144,,Major,77,75,58,52,0,23,25
5106082,122,F,Major,67,49,64,10,0,10,3
4467778,140,,Major,71,82,81,11,0,6,5
7476887,134,C#,Minor,59,51,52,9,0,15,7
4367298,186,G,Major,68,49,59,16,0,13,28
6230777,67,C#,Minor,53,50,53,23,0,44,7
8760891,106,A#,Minor,72,17,64,7,0,10,5
7107144,128,G,Major,60,23,91,0,0,12,3
4945945,107,F#,Minor,92,55,70,18,0,15,7
3461847,130,G,Minor,67,96,88,12,19,8,4
2391919,123,E,Minor,45,13,54,70,0,9,4
2553984,171,C#,Major,50,38,80,0,0,9,7
2770990,137,G,Minor,64,88,72,51,0,17,5
3894522,125,G,Minor,84,85,68,58,0,22,4
7624098,128,,Minor,86,42,72,59,0,9,19
2685773,130,,Minor,61,53,58,55,0,27,4
1849027,130,B,Major,86,59,96,50,1,9,5
1726395,133,F,Major,70,86,81,25,0,25,5
2577311,101,D,Major,88,72,59,62,0,9,3
3276282,95,F,Minor,77,53,64,74,0,17,14
1899106,98,C#,Minor,90,40,59,0,0,10,29
4527090,173,B,Major,43,28,66,0,0,23,3
7370086,90,G#,Major,64,10,62,7,0,48,7
4890110,198,A#,Minor,59,71,42,55,0,10,7
4487095,140,C#,Major,56,48,73,0,0,35,4
6801500,82,G#,Major,51,22,53,1,0,15,3
3670203,130,C#,Minor,77,84,89,17,0,43,5
8788368,81,B,Major,76,53,53,44,0,9,9
3183051,94,C#,Minor,51,14,59,65,18,25,3
8895699,124,A#,Major,61,41,81,5,2,10,3
4431554,128,D,Major,62,55,78,1,3,23,4
3126367,138,F,Minor,49,42,62,9,0,11,3
5898111,132,E,Major,58,27,48,50,0,12,3
2302386,131,D,Major,71,24,47,1,0,27,9
2415106,168,F#,Minor,78,58,73,5,0,10,7
4847849,98,C#,Major,68,40,79,33,0,30,6
8502696,102,C#,Major,48,50,73,43,0,15,4
7680579,101,A#,Major,34,32,57,78,0,20,3
2162220,130,F,Major,63,36,34,76,0,35,9
6063105,142,D,Major,50,20,64,1,0,12,3
2023156,170,C#,Major,59,48,76,4,0,10,5
7412049,124,G#,Minor,78,70,68,3,1,11,4
8408827,110,C#,Major,50,45,41,75,0,11,3
3331159,92,C#,Minor,91,43,71,9,0,9,8
7159285,116,D,Major,82,40,66,39,51,25,7
8274842,129,A,Major,63,84,82,70,8,9,7
8499304,98,G#,Major,71,67,60,19,0,12,3
4148996,172,C#,Minor,74,76,76,6,0,10,9
5560446,150,D,Major,68,14,76,4,0,10,4
5821993,136,A,Minor,62,19,53,11,0,6,4
7179210,88,C#,Minor,53,34,47,9,0,83,4
7083603,143,D#,Major,83,69,44,15,0,10,33
5243367,100,F#,Minor,49,17,35,71,9,11,3
4311407,143,F,Major,56,39,55,14,0,11,13
1216337,112,C#,Minor,56,24,66,7,0,12,3
8365464,93,G,Major,62,57,59,3,0,38,3
1729982,206,G,Major,43,50,55,50,0,15,10
2540650,88,G,Minor,68,17,71,15,0,11,5
2619841,170,D,Major,50,37,90,0,0,12,5
2394886,84,E,Minor,62,24,67,21,0,13,28
4928987,134,E,Minor,81,53,72,51,0,12,5
2698226,158,A#,Major,54,50,40,61,0,10,6
8797570,116,C#,Major,80,92,80,4,0,10,3
4495422,117,C#,Major,61,45,69,2,0,9,3
2480109,114,F,Minor,77,65,72,2,0,7,5
4350729,108,D,Minor,61,47,68,0,0,13,3
7811952,144,E,Minor,74,37,53,7,0,21,10
3381390,130,F,Major,51,18,44,76,0,11,3
3225408,116,B,Major,77,79,62,33,1,15,3
8943060,121,G,Major,65,49,78,0,0,17,4
8965193,112,G,Major,64,54,81,36,0,11,6
8189388,100,A#,Minor,70,47,52,30,0,6,33
5667205,150,D#,Minor,55,30,78,24,0,12,8
1696728,120,F,Minor,84,96,71,18,0,34,17
7264781,127,B,Minor,82,89,85,4,0,23,6
6556428,90,F,Major,51,42,61,53,0,9,3
1717593,128,A,Minor,75,79,63,33,0,15,4
1549051,143,A,Major,64,31,87,4,4,8,4
4890651,139,G#,Major,74,68,68,3,0,26,4
8110201,162,A#,Major,49,78,64,19,0,11,4
3739768,92,,Major,81,39,60,31,0,7,3
7783887,95,F,Major,87,57,55,10,0,29,7
3605651,146,D,Major,63,88,93,3,0,10,8
3869741,95,,Major,55,56,82,12,0,34,5
4826716,115,E,Minor,35,12,30,93,0,10,3
8262356,128,B,Major,78,59,65,10,0,26,5
1121286,130,E,Minor,82,69,83,3,0,27,5
2437608,127,A,Minor,80,74,77,36,0,11,4
4458161,150,D,Major,42,20,86,21,0,9,9
4669801,122,D,Minor,78,50,63,27,0,9,5
7750995,140,,Major,52,20,85,0,0,7,5
4497491,140,,Major,63,22,54,46,0,12,8
2121928,119,C#,Minor,75,48,53,18,0,18,34
6953068,110,G,Minor,76,96,72,32,0,9,4
3253565,95,G#,Major,60,17,45,16,0,11,2
8013969,132,F#,Major,56,20,55,45,1,32,3
4181228,125,A#,Minor,77,74,78,4,0,23,11
8129977,124,D#,Minor,84,65,50,67,0,13,6
1589586,133,B,Minor,93,68,65,42,0,12,25
1663974,112,G,Major,92,67,66,0,0,36,9
4214662,97,,Major,79,92,89,5,0,6,5
7910702,90,F,Minor,59,52,48,38,5,10,11
7384134,80,D#,Minor,65,27,69,8,0,53,4
3412305,172,A,Major,45,33,59,6,0,8,3
8251078,120,E,Major,60,24,35,73,0,31,3
1078549,140,G,Minor,74,96,80,18,0,5,5
8209238,128,A,Minor,81,90,77,1,0,9,5
6776344,122,,Major,78,70,81,57,0,10,5
3766692,130,,Major,47,86,92,8,0,5,24
4335470,160,A,Major,69,61,71,33,0,31,20
