track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
4576591,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289
3252628,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812
5310138,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954
2808274,Rush,Troye Sivan,1,2023,7,13,864,78,22581161
2869874,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266
2927588,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510
8346039,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277
3464535,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393
4801316,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413
2708944,Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502
3921634,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075
4796316,Style,Taylor Swift,1,2014,1,1,7830,42,786181836
7070604,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476
3595953,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408
3827571,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550
5165382,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169
4446199,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291
5168392,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199
5106082,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054
4467778,I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420
7476887,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401
4367298,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693
6230777,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108
8760891,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850
7107144,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666
4945945,AMARGURA,Karol G,1,2023,2,24,1133,39,153372011
3461847,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440
