track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
7653113,67,55,48,0,6
8571641,15,93,30,0,320
7517093,16,102,7,0,55
6161550,0,0,6,0,0
4823840,8,14,12,2,33
4502825,16,103,9,0,55
8297242,21,4,13,0,4
2264316,36,65,28,0,0
4117642,26,6,19,0,5
6966778,114,104,147,11,20
5442505,0,0,0,0,0
7230461,4,64,4,2,37
1774478,234,71,543,18,
5088165,8,84,5,1,4
3546474,16,90,10,0,64
4389214,5,6,1,1,18
5757514,180,90,422,15,55
4257818,142,23,127,3,16
2313207,0,0,21,0,0
3132809,17,80,22,9,38
8471078,34,26,37,5,1
8987545,3,1,36,1,37
6158916,18,78,24,0,30
4916659,17,13,27,0,43
6744187,3,31,2,1,0
8513259,4,71,16,1,9
6029543,30,70,142,0,27
4603662,5,9,5,0,0
5904115,53,120,62,0,2
2339996,21,55,32,3,0
6387600,151,107,801,1,105
7881394,4,72,5,0,5
2084763,8,77,2,1,1
5555264,156,35,110,19,0
6766942,247,54,"5,567",1,51
4238748,18,51,"1,005",0,0
2484929,10,41,20,0,1
6619922,4,45,11,2,24
7989475,20,8,15,0,6
7996425,11,3,18,1,1
1111875,23,0,18,0,33
0:00,190,104,147,18,63
6083108,8,1,13,0,0
3143453,22,7,11,0,78
5615912,4,11,5,1,2
1214913,16,15,5,0,1
2135563,166,42,199,16,58
5239763,30,84,88,1,28
5142009,240,98,468,3,10
6107898,67,84,46,16,117
5763974,29,9,12,0,52
5402623,5,48,2,1,9
3694791,19,29,21,0,0
4832204,81,27,66,9,444
3575524,37,88,9,0,14
7402588,28,57,43,8,85
6333549,23,2,21,0,0
5673293,20,68,50,0,22
5939675,21,0,386,0,
5152397,52,66,55,1,16
8584244,44,19,135,0,6
1014962,71,53,181,0,10
7587856,231,37,"1,509",0,13
6380084,122,94,"1,992",0,18
2775772,27,27,29,1,1
6987709,0,0,0,0,0
8001796,20,8,30,2,0
1035366,72,64,64,6,3
2578085,23,71,14,0,9
3049716,39,0,"7,341",0,0
8246992,32,18,39,2,0
3986213,22,82,8,0,9
2840055,11,58,5,0,21
5405010,108,16,197,3,165
3853127,4,20,0,0,0
2820265,22,101,0,0,66
3895305,29,3,18,0,19
3546129,11,54,0,0,103
4538543,61,6,48,0,150
5073649,49,23,110,0,8
1824533,4,6,0,0,23
2841488,15,17,0,0,0
7021208,11,101,0,0,48
4967469,32,3,9,0,0
2733163,30,15,34,2,47
3970396,14,35,1,0,0
2853933,45,11,20,0,21
1740150,1,10,1,0,1
3923468,59,100,58,13,2
4141537,11,15,14,3,1
7166872,20,119,12,2,7
7921549,66,26,277,3,734
1910640,118,34,150,4,19
1413502,6,15,0,0,0
2395685,11,24,7,1,7
6402604,16,53,1,0,61
4552573,63,0,"6,808",2,0
2068804,20,1,71,2,0
3519068,12,2,13,0,4
1912112,94,21,80,15,38
6133453,20,64,35,6,0
3875589,16,19,21,3,4
8024591,6,1,21,0,1
1519987,122,88,580,21,10
2061546,7,0,203,0,2
7204092,26,69,73,2,6
2767209,177,109,305,3,5
6044216,19,59,18,5,52
5911914,57,4,48,0,0
3347693,45,115,218,1,221
5080031,0,0,25,0,0
3746522,5,9,0,0,0
5865058,24,94,9,0,23
5031236,53,7,56,3,1
4942277,11,80,1,0,8
1459555,74,113,85,9,2
