track_id,track_name,artist_s__name,artist_count,release_date,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts_moda,total_playlists,streams_int,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,mode,quartiles_streams,streams_classification,bpm_classification,danceability_classification,valence_classification,energy_classification,acousticness_classification,instrumentalness_classification,liveness_classification,speechiness_classification,spotify_playlists_classification,spotify_charts_classification,apple_playlists_classification,apple_charts_classification,deezer_playlists_classification,deezer_charts_classification,shazam_charts_classification,total_playlists_classification
2070479,GONE GIRL,SZA,1,09/12/2022,892,0,3,17,2,0,0,896,65362788,150,43,42,44,57,0,15,6,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
6791135,SEEK & DESTROY,SZA,1,09/12/2022,1007,0,5,31,1,0,0,1009,98709329,152,65,35,65,44,18,21,7,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
4611820,SPECIAL,SZA,1,09/12/2022,906,0,6,21,3,0,0,912,88092256,76,60,19,20,78,0,11,5,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2341529,BIGGER THAN THE WHOLE SKY,TAYLOR SWIFT,1,21/10/2022,1180,0,4,0,8,0,0,1196,121871870,166,42,7,24,83,1,12,6,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3355993,A TALE BY QUINCY,THE WEEKND,1,07/01/2022,733,0,0,2,2,0,0,737,41924466,94,46,55,50,71,0,10,11,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
6386843,BEST FRIENDS,THE WEEKND,1,07/01/2022,1292,0,3,18,14,0,0,1320,101114984,87,49,49,59,44,0,35,21,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
7175350,DAWN FM,THE WEEKND,1,07/01/2022,811,0,1,8,6,0,0,823,53933526,78,27,10,49,62,0,49,5,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
7332091,PHANTOM REGRET BY JIM,THE WEEKND,1,07/01/2022,768,0,1,1,3,0,0,774,31959571,108,46,23,48,75,30,14,4,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2717112,STARRY EYES,THE WEEKND,1,07/01/2022,1014,0,1,17,11,0,0,1036,74601456,86,28,13,41,50,0,19,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2150360,SOY EL UNICO,YAHRITZA Y SU ESENCIA,1,25/03/2022,226,0,5,0,4,0,1,234,126443991,84,71,63,45,45,0,11,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3475077,NEVER FELT SO ALONE,LABRINTH,1,07/04/2023,1730,3,46,5,51,0,20,1832,117747907,98,44,36,41,50,0,38,5,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2068804,ZONA DE PERIGO,LEO SANTANA,1,08/12/2022,531,4,20,1,71,2,0,673,134294498,135,81,97,77,75,0,35,3,Major,1,Baixo,Baixo,Alto,Alto,Alto,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo
2820265,THINKIN B,MORGAN WALLEN,1,03/03/2023,604,6,22,101,0,0,66,604,125917280,140,66,43,76,49,0,12,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo
8571641,CUPID,FIFTY FIFTY,1,24/02/2023,526,10,15,93,30,0,320,586,139681964,120,77,94,66,65,0,38,3,Major,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo
6776344,BYE,PESO PLUMA,1,26/05/2023,324,14,13,110,8,2,60,340,95053634,122,78,70,81,57,0,10,5,Major,1,Baixo,Baixo,Alto,Alto,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Alto,Baixo
2698226,PRIMERA CITA,CARIN LEON,1,20/04/2022,266,27,6,40,6,6,202,278,77309611,158,54,50,40,61,0,10,6,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Alto,Baixo
6136667,ACRS,SHAKIRA,1,11/05/2023,955,29,37,50,79,11,31,1113,123124076,144,75,35,48,84,0,10,12,Major,1,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo
4928987,NEW JEANS,NEWJEANS,1,07/07/2023,77,35,8,166,4,4,34,85,29562220,134,81,53,72,51,0,12,5,Minor,1,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Alto,Alto,Baixo
7624098,S91,KAROL G,1,14/07/2023,525,41,34,115,39,6,216,603,16011326,128,86,42,72,59,0,9,19,Minor,1,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Alto,Alto,Baixo
5243367,SAY YES TO HEAVEN,LANA DEL REY,1,17/03/2023,2000,46,49,105,63,1,0,2126,127567540,100,49,17,35,71,9,11,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo
1404326,"WHAT WAS I MADE FOR? [FROM THE MOTION PICTURE ""BARBIE""]",BILLIE EILISH,1,13/07/2023,873,104,80,227,95,24,1173,1063,30546883,78,44,14,9,96,0,10,3,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Alto,Alto,Baixo
7021208,"APNA BANA LE (FROM ""BHEDIYA"")","ARIJIT SINGH, SACHIN-JIGAR",2,05/11/2022,86,0,11,101,0,0,48,86,139836056,94,59,44,56,80,0,6,3,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo
6143073,ON TIME (WITH JOHN LEGEND),"JOHN LEGEND, METRO BOOMIN",2,02/12/2022,398,0,2,2,6,0,2,410,78139948,80,33,51,59,76,0,44,6,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2612867,MOTHER I SOBER (FEAT. BETH GIBBONS OF PORTISHEAD),"KENDRICK LAMAR, BETH GIBBONS",2,13/05/2022,1890,0,3,0,2,0,0,1894,33381454,140,49,50,37,87,0,11,35,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2861036,SILENT HILL,"KENDRICK LAMAR, KODAK BLACK",2,13/05/2022,3028,0,22,0,23,0,0,3074,123216717,140,92,78,57,46,0,14,9,Minor,1,Baixo,Baixo,Alto,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3984533,CON LA BRISA,"LUDWIG GORANSSON, FOUDEQUSH",2,04/11/2022,486,0,8,1,7,0,0,500,71095708,114,62,25,44,51,33,14,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1338081,DO WE HAVE A PROBLEM?,"NICKI MINAJ, LIL BABY",2,04/02/2022,1064,0,42,1,26,0,0,1116,81350745,120,84,54,51,47,0,12,40,Minor,1,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
4265182,"RESIDENTE: BZRP MUSIC SESSIONS, VOL. 49","RESIDENTE, BIZARRAP",2,03/03/2022,461,0,7,11,13,0,0,487,94616487,71,59,70,74,56,0,11,40,Minor,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
3439901,USED (FEAT. DON TOLIVER),"SZA, DON TOLIVER",2,08/12/2022,1042,0,7,29,3,0,0,1048,94005786,150,73,71,69,53,0,32,9,Minor,1,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
5179092,GHOST IN THE MACHINE (FEAT. PHOEBE BRIDGERS),"SZA, PHOEBE BRIDGERS",2,09/12/2022,1634,0,16,20,4,0,0,1642,110073250,125,62,59,43,84,3,11,5,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1111875,DOGTOOTH,"TYLER, THE CREATOR",2,27/03/2023,1479,0,23,0,18,0,33,1515,80758350,78,71,80,65,51,0,22,32,Major,1,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
2830739,I TRIED TO TELL Y'ALL,"UGLY DRAY, TESLA JNR",2,06/05/2022,1657,0,15,3,3,0,0,1663,121077868,96,71,37,52,62,0,11,36,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
8346639,HUMMINGBIRD (METRO BOOMIN & JAMES BLAKE),"JAMES BLAKE, METRO BOOMIN",2,02/06/2023,277,1,1,20,5,0,1,287,39666245,81,59,26,60,46,1,25,13,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
