artist_s__name,total_solo_songs,streams_avg
ARIANA GRANDE,2,1043346468
CHARLIE PUTH,2,323351736
DADDY YANKEE,2,"407857155,5"
DAVID KUSHNER,2,255989087
FUTURE,2,"152482674,5"
JUICE WRLD,2,1237051830
JVKE,2,"548631183,5"
LADY GAGA,2,305413365
LE SSERAFIM,2,"265274786,5"
LIL BABY,2,93669706
LIZZO,2,485791798
MICHAEL BUBL,2,"641903365,5"
NAT KING COLE,2,"258399839,5"
NICKI MINAJ,2,"255052534,5"
NIRVANA,2,1029419895
PAULO LONDRA,2,"165113804,5"
ROSAL,2,453679035
RYAN CASTRO,2,"313013231,5"
SEBASTIAN YATRA,2,338976617
SIA,2,814974810
STRAY KIDS,2,138865518
TATE MCRAE,2,761646014
THE KID LAROI,2,196140054
TWICE,2,"267689866,5"
XXXTENTACION,2,1111533362
YEAT,2,"206120329,5"
BURNA BOY,2,194736957
RAUW ALEJANDRO,2,"817301089,5"
DUKI,2,"171186965,5"
JUNG KOOK,2,142394323
LINKIN PARK,2,1492795307
(G)I-DLE,2,133491665
HOTEL UGLY,2,293483972
AVICII,2,1713377373
TROYE SIVAN,2,"215712244,5"
FIFTY FIFTY,2,318238825
JAMES ARTHUR,2,1343172025
FRANK OCEAN,2,814318398
PESO PLUMA,2,212700029
MILEY CYRUS,2,943685385
CENTRAL CEE,2,"390160602,5"
D4VD,2,"658497585,5"
FUERZA REGIDA,2,127427065
ONEREPUBLIC,2,1548574802
BEYONC,3,"374101396,7"
DUA LIPA,3,1075879667
ENHYPEN,3,121825887
JACK HARLOW,3,"346156719,3"
JOJI,3,"785756728,3"
JUSTIN BIEBER,3,1306604507
KANYE WEST,3,655846956
LIL NAS X,3,"996248439,7"
SHAWN MENDES,3,"752270821,3"
STEVE LACY,3,"648377486,3"
COLDPLAY,3,1275058686
LEWIS CAPALDI,3,1578232787
THE NEIGHBOURHOOD,3,1336669980
BLACKPINK,3,423010141
IMAGINE DRAGONS,3,1757494883
JIMIN,3,235148565
POST MALONE,3,"773314047,7"
LANA DEL REY,3,"465341640,7"
ADELE,4,1127186648
DRAKE,4,"163885732,3"
MNE,4,"668908051,5"
IVE,4,"235547649,3"
BRUNO MARS,4,1461730150
EMINEM,4,1545951399
QUEVEDO,4,"244267831,5"
ARCTIC MONKEYS,4,1392451683
KAROL G,4,"315219108,3"
BILLIE EILISH,5,"523286489,6"
DOJA CAT,6,"783715775,8"
NEWJEANS,6,"257427834,5"
LABRINTH,7,"330390018,7"
OLIVIA RODRIGO,7,1063164131
BTS,8,"548736448,9"
FEID,8,"277592549,9"
ED SHEERAN,9,1545438578
MORGAN WALLEN,11,"151472656,1"
KENDRICK LAMAR,12,"252761328,9"
HARRY STYLES,17,"682861508,8"
BAD BUNNY,19,"526199979,3"
SZA,19,"239884800,2"
THE WEEKND,21,"654897644,6"
TAYLOR SWIFT,34,"413342891,2"
